City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,College,64.8569,-147.8028,27.07,91,100,5.75,US,2022-12-04 00:15:32
119,Bengkulu,-3.8004,102.2655,74.61,89,98,3.91,ID,2022-12-04 00:15:32
120,Port Blair,11.6667,92.75,80.02,82,100,11.56,IN,2022-12-04 00:15:33
121,Saint-Augustin,51.226,-58.6502,32.02,83,100,16.46,CA,2022-12-04 00:15:33
122,East London,-33.0153,27.9116,64.8,79,100,4.61,ZA,2022-12-04 00:15:34
123,Majene,-3.5403,118.9707,80.87,77,90,2.48,ID,2022-12-04 00:15:34
124,Ilulissat,69.2167,-51.1,28.42,64,100,17.27,GL,2022-12-04 00:11:02
125,Roblin,51.23,-101.3565,0.73,87,86,14.63,CA,2022-12-04 00:15:35
126,Narsaq,60.9167,-46.05,23.22,83,3,7.85,GL,2022-12-04 00:15:35
127,Ferme-Neuve,46.7001,-75.4493,25.41,81,100,14.85,CA,2022-12-04 00:15:36
128,Bluff,-46.6,168.3333,58.33,74,95,30.56,NZ,2022-12-04 00:10:38
129,Torbay,47.6666,-52.7314,32.5,79,13,1.99,CA,2022-12-04 00:10:54
130,Puerto Madryn,-42.7692,-65.0385,75.69,27,86,13.87,AR,2022-12-04 00:15:37
131,Butaritari,3.0707,172.7902,81.3,77,21,14.58,KI,2022-12-04 00:15:37
132,Pangnirtung,66.1451,-65.7125,-3.82,79,36,9.89,CA,2022-12-04 00:15:39
133,Hamilton,39.1834,-84.5333,38.08,65,0,8.05,US,2022-12-04 00:13:16
134,Santiago,-33.4569,-70.6483,76.86,38,0,14.97,CL,2022-12-04 00:12:42
135,Saint-Pierre,-21.3393,55.4781,76.68,78,0,12.66,RE,2022-12-04 00:15:40
136,Sao Filipe,14.8961,-24.4956,72.32,62,89,5.14,CV,2022-12-04 00:15:40
137,Vila Franca Do Campo,37.7167,-25.4333,57.61,87,87,28.25,PT,2022-12-04 00:13:49
138,Tigil,57.8,158.6667,2.5,90,82,6.73,RU,2022-12-04 00:15:41
139,Kodiak,57.79,-152.4072,31.51,69,0,6.91,US,2022-12-04 00:15:41
140,Phalaborwa,-23.943,31.1411,71.24,78,83,12.19,ZA,2022-12-04 00:15:42
141,Kungurtug,50.5994,97.5228,-21.15,97,22,1.57,RU,2022-12-04 00:15:42
142,Muromtsevo,56.3724,75.2418,-8.32,93,38,4.97,RU,2022-12-04 00:15:43
143,Port Elizabeth,-33.918,25.5701,63.32,88,100,3.0,ZA,2022-12-04 00:12:34
144,Half Moon Bay,37.4636,-122.4286,52.88,95,100,3.44,US,2022-12-04 00:13:10
145,Lasa,46.6166,10.7002,40.08,99,97,4.45,IT,2022-12-04 00:15:43
146,Imbituba,-28.24,-48.6703,72.82,98,100,10.87,BR,2022-12-04 00:15:44
147,Te Anau,-45.4167,167.7167,56.14,66,99,7.65,NZ,2022-12-04 00:15:45
148,Beringovskiy,63.05,179.3167,33.12,99,100,6.93,RU,2022-12-04 00:15:45
149,Provideniya,64.3833,-173.3,29.53,96,100,13.8,RU,2022-12-04 00:12:22
150,Bubaque,11.2833,-15.8333,79.07,64,57,10.65,GW,2022-12-04 00:15:46
151,Pedro Carbo,-1.8333,-80.2333,76.24,66,27,10.65,EC,2022-12-04 00:15:46
152,Coihaique,-45.5752,-72.0662,51.75,54,100,4.61,CL,2022-12-04 00:15:47
153,Bambous Virieux,-20.3428,57.7575,73.65,83,40,2.3,MU,2022-12-04 00:15:47
154,Pokhara,28.2333,83.9833,56.55,30,0,5.73,NP,2022-12-04 00:15:47
155,Namtsy,62.7161,129.6658,-28.43,98,100,2.46,RU,2022-12-04 00:15:48
156,Arraial Do Cabo,-22.9661,-42.0278,72.57,92,100,26.13,BR,2022-12-04 00:15:48
157,Samarai,-10.6167,150.6667,82.2,71,100,4.34,PG,2022-12-04 00:15:49
158,Iracoubo,5.4802,-53.2011,76.71,87,100,7.23,GF,2022-12-04 00:15:49
159,Kavieng,-2.5744,150.7967,82.04,75,97,5.93,PG,2022-12-04 00:15:49
160,Arica,-18.475,-70.3042,67.55,77,0,3.44,CL,2022-12-04 00:15:50
161,Bud,39.447,-86.1758,32.47,67,1,5.28,US,2022-12-04 00:15:50
162,Tasiilaq,65.6145,-37.6368,30.36,98,100,14.58,GL,2022-12-04 00:15:51
163,Wajir,1.7471,40.0573,77.77,71,51,7.4,KE,2022-12-04 00:15:51
164,Chokurdakh,70.6333,147.9167,-17.73,96,94,13.09,RU,2022-12-04 00:15:52
165,San Felipe,10.3399,-68.7425,69.1,98,100,2.82,VE,2022-12-04 00:12:18
166,Povenets,62.8487,34.8262,22.3,83,100,11.1,RU,2022-12-04 00:15:53
167,Kailua,21.4022,-157.7394,84.18,72,68,5.99,US,2022-12-04 00:14:13
168,Vazante,-17.9869,-46.9078,69.39,86,98,6.89,BR,2022-12-04 00:15:53
169,Leningradskiy,69.3833,178.4167,8.98,78,100,9.37,RU,2022-12-04 00:15:24
170,Hami,42.8,93.45,19.4,53,4,5.44,CN,2022-12-04 00:15:54
171,Buin,-33.7333,-70.75,77.74,39,14,4.21,CL,2022-12-04 00:15:54
172,Chara,56.9064,118.2631,-13.85,78,83,3.94,RU,2022-12-04 00:15:55
173,Qaanaaq,77.484,-69.3632,-2.36,86,100,1.97,GL,2022-12-04 00:15:20
174,Vardo,70.3705,31.1107,28.38,86,100,10.36,NO,2022-12-04 00:15:55
175,Flinders,-34.5833,150.8552,76.17,63,0,5.99,AU,2022-12-04 00:15:56
176,Wum,6.3833,10.0667,68.5,49,32,2.77,CM,2022-12-04 00:15:57
177,Kismayo,-0.3582,42.5454,78.39,73,0,9.15,SO,2022-12-04 00:15:57
178,Barrow,71.2906,-156.7887,3.22,92,0,10.36,US,2022-12-04 00:12:22
179,Castro,-24.7911,-50.0119,65.53,93,100,3.94,BR,2022-12-04 00:15:59
180,Srednekolymsk,67.45,153.6833,-40.97,100,42,2.01,RU,2022-12-04 00:15:59
181,Lixourion,38.2019,20.4314,59.31,84,99,12.64,GR,2022-12-04 00:16:00
182,Baisha,26.5222,110.9311,41.68,92,100,3.58,CN,2022-12-04 00:16:00
183,Ourossogui,15.6064,-13.3211,77.65,17,42,8.32,SN,2022-12-04 00:16:00
184,Coquimbo,-29.9533,-71.3436,60.53,82,0,5.75,CL,2022-12-04 00:16:01
185,Necochea,-38.5473,-58.7368,71.8,48,2,17.67,AR,2022-12-04 00:16:01
186,Husavik,66.0449,-17.3389,31.62,81,25,9.98,IS,2022-12-04 00:16:02
187,Norman Wells,65.282,-126.8329,32.04,74,100,24.16,CA,2022-12-04 00:16:02
188,Balkanabat,39.5108,54.3671,38.48,39,95,3.22,TM,2022-12-04 00:16:02
189,Oron,4.8256,8.2343,77.77,88,16,3.02,NG,2022-12-04 00:16:03
190,San Quintin,30.4833,-115.95,64.76,64,100,4.56,MX,2022-12-04 00:12:26
191,Turbat,26.0023,63.044,65.43,28,0,10.89,PK,2022-12-04 00:16:04
192,Comodoro Rivadavia,-45.8667,-67.5,69.66,24,0,24.16,AR,2022-12-04 00:16:04
193,Codrington,-38.2667,141.9667,78.98,46,79,9.93,AU,2022-12-04 00:16:04
194,Polis,35.0367,32.4264,58.82,69,78,3.31,CY,2022-12-04 00:16:05
195,Nome,64.5011,-165.4064,33.87,93,100,16.11,US,2022-12-04 00:13:03
196,Namibe,-15.1961,12.1522,71.01,83,100,7.96,AO,2022-12-04 00:16:06
197,Poum,-20.2333,164.0167,78.98,84,100,10.58,NC,2022-12-04 00:16:06
198,Portland,45.5234,-122.6762,43.52,56,20,20.71,US,2022-12-04 00:13:44
199,Constitucion,-35.3333,-72.4167,59.67,73,24,14.88,CL,2022-12-04 00:15:57
200,Nemuro,43.3236,145.575,35.49,64,59,14.23,JP,2022-12-04 00:14:02
201,Tiznit,29.5833,-9.5,54.88,80,2,1.16,MA,2022-12-04 00:16:07
202,Kiama,-34.6833,150.8667,76.37,63,0,8.01,AU,2022-12-04 00:16:08
203,Ovada,44.6384,8.6453,46.63,96,100,3.47,IT,2022-12-04 00:16:08
204,Kouroussa,10.65,-9.8833,74.66,72,86,4.29,GN,2022-12-04 00:16:08
205,Guerrero Negro,27.9769,-114.0611,67.82,65,100,12.55,MX,2022-12-04 00:16:09
206,Hambantota,6.1241,81.1185,75.54,88,93,8.23,LK,2022-12-04 00:16:09
207,Tall Kayf,37.0833,41.0667,53.19,61,1,4.88,TR,2022-12-04 00:16:10
208,Adrar,20.5022,-10.0711,68.59,24,21,5.08,MR,2022-12-04 00:16:11
209,Humberto De Campos,-2.5983,-43.4611,76.91,80,66,4.07,BR,2022-12-04 00:16:11
210,Barranca,-10.75,-77.7667,66.85,81,17,7.25,PE,2022-12-04 00:16:12
211,Isangel,-19.55,169.2667,87.91,84,40,3.44,VU,2022-12-04 00:16:12
212,Trairi,-3.2778,-39.2689,79.47,76,31,11.95,BR,2022-12-04 00:15:40
213,Santa Cruz De Tenerife,28.4682,-16.2546,64.62,84,75,5.01,ES,2022-12-04 00:16:13
214,Dombarovskiy,50.7587,59.5386,-2.15,86,4,7.67,RU,2022-12-04 00:16:14
215,Shepsi,44.0361,39.1489,48.24,81,100,7.25,RU,2022-12-04 00:16:14
216,Severodvinsk,64.5635,39.8302,8.71,85,96,11.7,RU,2022-12-04 00:16:14
217,West Wendover,40.7391,-114.0733,29.41,55,0,4.61,US,2022-12-04 00:16:15
218,Mao,39.8885,4.2658,48.76,93,0,0.0,ES,2022-12-04 00:16:15
219,Thompson,55.7435,-97.8558,-18.24,76,20,5.75,CA,2022-12-04 00:16:16
220,Platanos,37.6667,21.6167,57.07,79,98,5.12,GR,2022-12-04 00:16:16
221,Banjarmasin,-3.3244,114.591,77.14,85,100,3.06,ID,2022-12-04 00:16:16
222,Teeli,51.0333,90.2333,-23.89,85,8,1.21,RU,2022-12-04 00:16:17
223,Fortuna,40.5982,-124.1573,54.93,62,100,17.27,US,2022-12-04 00:15:27
224,Broken Hill,-31.95,141.4333,84.54,21,0,5.77,AU,2022-12-04 00:15:13
225,Ahome,25.9167,-109.1833,76.95,64,74,10.11,MX,2022-12-04 00:16:19
226,La Palma,33.8464,-118.0467,72.91,69,75,10.36,US,2022-12-04 00:16:20
227,San Antero,9.3741,-75.7589,77.92,81,21,8.88,CO,2022-12-04 00:16:20
228,Smiths Falls,44.9001,-76.0161,38.89,70,85,15.68,CA,2022-12-04 00:16:21
229,La Libertad,-2.2333,-80.9,71.33,81,58,11.97,EC,2022-12-04 00:16:21
230,Sioux Lookout,50.1001,-91.917,1.47,85,40,14.97,CA,2022-12-04 00:16:22
231,Burgersdorp,-30.9977,26.3286,52.79,79,14,4.94,ZA,2022-12-04 00:16:22
232,Hasaki,35.7333,140.8333,51.22,59,84,8.25,JP,2022-12-04 00:16:23
233,Noyabrsk,63.1994,75.4507,6.42,98,97,8.86,RU,2022-12-04 00:16:23
234,Kahului,20.8947,-156.47,82.42,71,40,18.41,US,2022-12-04 00:12:17
235,Chimbote,-9.0853,-78.5783,67.28,82,13,8.55,PE,2022-12-04 00:12:40
236,Butajira,8.1167,38.3667,55.94,54,57,8.5,ET,2022-12-04 00:16:24
237,Petropavlovsk-Kamchatskiy,53.0452,158.6483,5.59,85,75,11.18,RU,2022-12-04 00:16:25
238,Saint George,37.1041,-113.5841,60.44,38,0,1.99,US,2022-12-04 00:16:25
239,Kenai,60.5544,-151.2583,22.14,88,0,3.44,US,2022-12-04 00:16:26
240,Chanika,-5.4167,38.0167,68.97,91,79,2.48,TZ,2022-12-04 00:16:26
241,Karratha,-20.7377,116.8463,90.34,34,2,11.99,AU,2022-12-04 00:16:27
242,Vilyuysk,63.7553,121.6247,-16.91,96,100,4.29,RU,2022-12-04 00:16:27
243,Masvingo,-20.0637,30.8277,70.3,55,33,3.11,ZW,2022-12-04 00:16:28
244,Komsomolskiy,40.4272,71.7189,34.52,93,75,2.3,UZ,2022-12-04 00:16:28
