City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,12,3.0,few clouds
221,Bilma,NE,18.6853,12.9164,70.72,21,4,9.42,clear sky
222,Stokke,NO,59.2236,10.3003,32.65,79,100,9.22,overcast clouds
223,Salalah,OM,17.0151,54.0924,71.69,64,0,5.75,clear sky
224,Pierre,US,44.3683,-100.351,29.28,63,0,7.0,clear sky
225,Lavrentiya,RU,65.5833,-171.0,31.24,99,100,10.22,snow
226,Acarau,BR,-2.8856,-40.12,79.57,79,21,17.07,few clouds
227,Poum,NC,-20.2333,164.0167,80.26,81,100,10.92,light rain
228,Svetlaya,RU,46.5389,138.3297,7.72,55,100,12.75,overcast clouds
229,Namatanai,PG,-3.6667,152.4333,85.57,65,85,5.66,overcast clouds
230,Iralaya,HN,15.0,-83.2333,77.92,85,14,11.45,light rain
231,Coihaique,CL,-45.5752,-72.0662,49.95,50,0,6.91,clear sky
232,Deputatskiy,RU,69.3,139.9,-17.72,96,100,5.23,overcast clouds
233,Grand Baie,MU,-20.0182,57.5802,73.87,77,10,3.0,clear sky
234,Flinders,AU,-34.5833,150.8552,78.19,62,0,7.0,clear sky
235,Karpinsk,RU,59.7654,60.0085,8.91,91,100,3.42,overcast clouds
236,Pacific Grove,US,36.6177,-121.9166,55.65,92,100,0.0,overcast clouds
237,San Juan Del Sur,NI,11.2529,-85.8705,77.83,81,2,20.38,clear sky
238,Dulce Grande,MX,23.0,-102.1667,61.43,73,0,18.48,clear sky
239,Mackenzie,CA,55.2999,-123.1698,-0.18,78,0,4.61,clear sky
240,Yerbogachen,RU,61.2767,108.0108,-2.58,95,100,10.13,overcast clouds
241,Abu Dhabi,AE,24.4667,54.3667,71.62,78,0,2.3,clear sky
242,Rawson,AR,-43.3002,-65.1023,70.2,31,26,13.13,scattered clouds
243,Saint Andrews,US,34.0454,-81.1293,62.19,77,20,5.75,few clouds
244,Umm Kaddadah,SD,13.6017,26.6876,66.0,34,0,14.32,clear sky
245,Talnakh,RU,69.4865,88.3972,-2.79,99,100,5.79,light snow
246,Nuevitas,CU,21.5453,-77.2644,77.9,64,97,14.47,overcast clouds
247,Ippy,CF,6.2679,21.2247,70.27,33,31,3.87,scattered clouds
248,Mandaguacu,BR,-23.3472,-52.0953,78.4,73,40,9.22,thunderstorm with light rain
249,Beringovskiy,RU,63.05,179.3167,33.85,99,100,11.27,snow
250,Khaniotis,GR,39.9991,23.58,54.57,77,100,8.88,overcast clouds
251,Namibe,AO,-15.1961,12.1522,70.14,85,99,4.07,overcast clouds
252,Bonthe,SL,7.5264,-12.505,76.53,85,80,2.28,broken clouds
253,Lagoa,PT,39.05,-27.9833,59.45,68,8,31.68,clear sky
254,Fare,PF,-16.7,-151.0167,80.85,76,34,18.23,light rain
255,Bambari,CF,5.768,20.6757,72.68,35,81,2.98,broken clouds
256,Tahta,EG,26.7693,31.5021,59.92,62,100,8.16,overcast clouds
257,Solikamsk,RU,59.6196,56.7729,9.05,96,99,6.55,overcast clouds
258,Severo-Kurilsk,RU,50.6789,156.125,34.79,89,96,17.52,overcast clouds
259,Chapais,CA,49.7834,-74.8492,19.18,90,100,15.3,overcast clouds
260,Harper,LR,4.375,-7.7169,76.84,84,100,3.44,overcast clouds
261,Djambala,CG,-2.5447,14.7533,66.61,91,100,1.32,overcast clouds
262,Varna,BG,43.2167,27.9167,37.54,93,100,2.3,overcast clouds
263,Kirkconnel,GB,55.3856,-3.9984,35.35,87,96,11.95,overcast clouds
264,Portland,US,45.5234,-122.6762,40.93,59,20,24.16,few clouds
265,Langsa,ID,4.4683,97.9683,80.13,75,100,4.32,overcast clouds
266,Sergeyevka,KZ,53.88,67.4158,-5.49,91,14,5.19,few clouds
267,Port Blair,IN,11.6667,92.75,82.44,83,40,4.61,scattered clouds
268,Noumea,NC,-22.2763,166.4572,80.58,88,100,5.28,moderate rain
269,Vorontsovka,RU,50.6132,40.3549,15.82,68,28,10.87,scattered clouds
270,Ust-Ishim,RU,57.6935,71.1665,6.1,95,100,5.23,light snow
271,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.73,99,97,0.65,overcast clouds
272,Eureka,US,40.8021,-124.1637,51.21,90,100,5.01,overcast clouds
273,Komsomolskiy,UZ,40.4272,71.7189,34.52,93,75,0.0,mist
274,Pemangkat,ID,1.1667,108.9667,81.55,78,93,3.27,overcast clouds
275,Broome,US,42.2506,-75.833,38.98,73,100,10.36,overcast clouds
276,Moose Factory,CA,51.2585,-80.6094,1.4,71,0,16.11,clear sky
277,Bang Saphan,TH,11.2126,99.5117,79.27,84,89,8.16,heavy intensity rain
278,Garowe,SO,8.4054,48.4845,68.38,69,12,9.55,few clouds
279,Hofn,IS,64.2539,-15.2082,36.91,56,0,5.12,clear sky
280,Kemi,FI,65.8596,24.8228,24.57,86,100,3.44,overcast clouds
281,Filadelfia,US,39.9523,-75.1638,52.05,63,0,19.57,clear sky
282,Tsumeb,NA,-19.2333,17.7167,79.27,30,41,6.29,scattered clouds
283,Vila Velha,BR,-20.3297,-40.2925,71.94,97,100,3.44,overcast clouds
284,Xuddur,SO,4.1213,43.8894,69.57,91,9,13.29,clear sky
285,Onoda,JP,34.0014,131.1836,53.62,82,75,3.44,broken clouds
286,Gaeta,IT,41.2183,13.5628,54.19,91,100,6.26,overcast clouds
287,Copiapo,CL,-27.3667,-70.3333,56.89,51,0,1.3,clear sky
288,Cody,US,44.5263,-109.0565,21.2,63,0,9.22,clear sky
289,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,4.61,clear sky
290,Batagay-Alyta,RU,67.8006,130.4114,-7.94,92,100,3.42,overcast clouds
291,Yeppoon,AU,-23.1333,150.7333,78.58,60,15,10.67,few clouds
292,Mareeba,AU,-17.0,145.4333,86.43,52,7,3.87,clear sky
293,Goya,AR,-29.14,-59.2626,73.67,74,14,7.56,few clouds
294,Shellbrook,CA,53.2168,-106.4011,-2.97,84,95,11.59,overcast clouds
295,Faya,SA,18.3851,42.4509,51.91,87,0,1.57,clear sky
296,Nantucket,US,41.2835,-70.0995,57.34,93,100,21.85,mist
297,Naze,JP,28.3667,129.4833,72.52,79,73,2.15,broken clouds
298,Sorland,NO,67.667,12.6934,37.26,73,100,16.75,overcast clouds
299,Ravar,IR,31.2656,56.8055,45.59,57,8,1.57,clear sky
300,Urdoma,RU,61.7533,48.5442,4.08,98,53,2.68,broken clouds
301,Uvalde,US,29.3669,-99.767,62.4,55,100,0.0,overcast clouds
302,Tucuman,AR,-26.8241,-65.2226,75.2,60,0,4.61,clear sky
303,Margate,GB,51.3813,1.3862,41.7,81,100,4.0,overcast clouds
304,Ukiah,US,39.1502,-123.2078,47.44,93,100,3.44,mist
305,Ambanja,MG,-13.6833,48.45,73.72,93,13,2.3,light rain
306,Gamba,GA,-2.65,10.0,73.98,93,100,3.8,light rain
307,Moyobamba,PE,-6.05,-76.9667,65.25,98,26,0.09,scattered clouds
308,Aitape,PG,-3.1374,142.3475,78.35,88,100,5.93,moderate rain
309,Puerto Narino,CO,-3.7703,-70.3831,73.72,96,100,1.52,overcast clouds
310,Garden City,US,42.3256,-83.331,30.88,72,20,6.91,few clouds
311,Dzilam Gonzalez,MX,21.2833,-88.9333,76.68,77,0,9.22,clear sky
312,Evensk,RU,61.95,159.2333,-5.76,79,7,9.08,clear sky
313,Larap,PH,14.299,122.6504,81.57,84,80,9.31,broken clouds
314,San Jose,US,37.3394,-121.895,55.58,93,100,4.61,moderate rain
315,Matara,LK,5.9485,80.5353,76.33,86,96,4.99,overcast clouds
316,Novyye Burasy,RU,52.1324,46.0714,7.81,84,19,5.44,few clouds
317,Port Lincoln,AU,-34.7333,135.8667,74.5,53,81,13.58,broken clouds
318,Najran,SA,17.4924,44.1277,56.05,53,0,1.79,clear sky
319,Arlit,NE,18.7369,7.3853,73.2,16,6,6.85,clear sky
320,Zyryanka,RU,65.75,150.85,-37.89,97,11,6.44,few clouds
321,Vidim,RU,56.4088,103.1106,1.06,95,100,6.67,overcast clouds
322,Bosaso,SO,11.2842,49.1816,72.84,73,0,4.72,clear sky
323,Sangmelima,CM,2.9333,11.9833,67.01,98,79,2.04,broken clouds
324,Pisco,PE,-13.7,-76.2167,67.01,82,0,11.5,clear sky
325,Meulaboh,ID,4.1363,96.1285,78.44,81,95,2.73,overcast clouds
326,Kasongo,CD,-4.45,26.6667,67.5,97,100,0.74,light rain
327,Upernavik,GL,72.7868,-56.1549,19.76,66,100,27.45,overcast clouds
328,Koumac,NC,-20.5667,164.2833,79.79,81,100,3.94,light rain
329,Jalu,LY,29.0331,21.5482,56.61,64,65,7.78,broken clouds
330,Porto Belo,BR,-27.1578,-48.5531,76.95,96,100,4.63,overcast clouds
331,Bagh,IN,22.3667,74.7667,65.95,52,41,4.36,scattered clouds
332,Guararapes,BR,-21.2608,-50.6428,74.48,77,100,2.55,overcast clouds
333,Tonantins,BR,-2.8731,-67.8022,72.73,97,88,0.47,moderate rain
334,Gualeguay,AR,-33.1416,-59.3097,64.94,45,0,7.92,clear sky
335,Oeiras Do Para,BR,-2.0031,-49.8544,73.58,96,100,1.34,overcast clouds
336,Vardo,NO,70.3705,31.1107,28.38,86,100,4.61,overcast clouds
337,Ugoofaaru,MV,5.6667,73.0,80.08,76,86,3.76,overcast clouds
338,Luderitz,NA,-26.6481,15.1594,58.62,73,4,15.41,clear sky
339,Hami,CN,42.8,93.45,20.16,52,0,5.3,clear sky
340,Balaghat,IN,21.8,80.1833,62.42,64,18,4.07,few clouds
341,Bonavista,CA,48.6499,-53.1147,33.8,74,50,12.12,scattered clouds
342,Nome,US,64.5011,-165.4064,33.87,93,100,13.8,light rain
343,Zhigansk,RU,66.7697,123.3711,-20.47,98,100,18.54,light snow
344,Foso,GH,5.7012,-1.2866,72.23,96,74,2.01,broken clouds
345,Richards Bay,ZA,-28.783,32.0377,68.11,80,100,5.14,overcast clouds
346,Lahaina,US,20.8783,-156.6825,82.4,82,38,7.2,scattered clouds
347,Barra Patuca,HN,15.8,-84.2833,77.65,85,20,12.01,moderate rain
348,Kirkwood,US,38.5834,-90.4068,31.59,63,75,3.44,broken clouds
349,Tainan,TW,22.9908,120.2133,78.58,69,75,6.91,haze
